,tokens,labels
10,"['It', 'was', 'one', 'of', 'those', 'pictures', 'which', 'are', 'so', 'contrived', 'that', 'the', 'eyes', 'follow', 'you', 'about', 'when', 'you', 'move', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"['BIG', 'BROTHER', 'IS', 'WATCHING', 'YOU', ',', 'the', 'caption', 'beneath', 'it', 'ran', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"['Inside', 'the', 'flat', 'a', 'fruity', 'voice', 'was', 'reading', 'out', 'a', 'list', 'of', 'figures', 'which', 'had', 'something', 'to', 'do', 'with', 'the', 'production', 'of', 'pig-iron', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"['The', 'voice', 'came', 'from', 'an', 'oblong', 'metal', 'plaque', 'like', 'a', 'dulled', 'mirror', 'which', 'formed', 'part', 'of', 'the', 'surface', 'of', 'the', 'right-hand', 'wall', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"['Winston', 'turned', 'a', 'switch', 'and', 'the', 'voice', 'sank', 'somewhat', ',', 'though', 'the', 'words', 'were', 'still', 'distinguishable', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"['The', 'instrument', '(', 'the', 'telescreen', ',', 'it', 'was', 'called', ')', 'could', 'be', 'dimmed', ',', 'but', 'there', 'was', 'no', 'way', 'of', 'shutting', 'it', 'off', 'completely', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"['He', 'moved', 'over', 'to', 'the', 'window', ':', 'a', 'smallish', ',', 'frail', 'figure', ',', 'the', 'meagreness', 'of', 'his', 'body', 'merely', 'emphasized', 'by', 'the', 'blue', 'overalls', 'which', 'were', 'the', 'uniform', 'of', 'the', 'party', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"['His', 'hair', 'was', 'very', 'fair', ',', 'his', 'face', 'naturally', 'sanguine', ',', 'his', 'skin', 'roughened', 'by', 'coarse', 'soap', 'and', 'blunt', 'razor', 'blades', 'and', 'the', 'cold', 'of', 'the', 'winter', 'that', 'had', 'just', 'ended', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"['Outside', ',', 'even', 'through', 'the', 'shut', 'window-pane', ',', 'the', 'world', 'looked', 'cold', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"['Down', 'in', 'the', 'street', 'little', 'eddies', 'of', 'wind', 'were', 'whirling', 'dust', 'and', 'torn', 'paper', 'into', 'spirals', ',', 'and', 'though', 'the', 'sun', 'was', 'shining', 'and', 'the', 'sky', 'a', 'harsh', 'blue', ',', 'there', 'seemed', 'to', 'be', 'no', 'colour', 'in', 'anything', ',', 'except', 'the', 'posters', 'that', 'were', 'plastered', 'everywhere', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"['The', 'black-moustachio', ""'d"", 'face', 'gazed', 'down', 'from', 'every', 'commanding', 'corner', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"['There', 'was', 'one', 'on', 'the', 'house-front', 'immediately', 'opposite', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"['BIG', 'BROTHER', 'IS', 'WATCHING', 'YOU', ',', 'the', 'caption', 'said', ',', 'while', 'the', 'dark', 'eyes', 'looked', 'deep', 'into', 'Winston', ""'s"", 'own', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
23,"['Down', 'at', 'street', 'level', 'another', 'poster', ',', 'torn', 'at', 'one', 'corner', ',', 'flapped', 'fitfully', 'in', 'the', 'wind', ',', 'alternately', 'covering', 'and', 'uncovering', 'the', 'single', 'word', 'INGSOC', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"['In', 'the', 'far', 'distance', 'a', 'helicopter', 'skimmed', 'down', 'between', 'the', 'roofs', ',', 'hovered', 'for', 'an', 'instant', 'like', 'a', 'bluebottle', ',', 'and', 'darted', 'away', 'again', 'with', 'a', 'curving', 'flight', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"['It', 'was', 'the', 'police', 'patrol', ',', 'snooping', 'into', 'people', ""'s"", 'windows', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"['The', 'patrols', 'did', 'not', 'matter', ',', 'however', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
27,"['Only', 'the', 'Thought', 'Police', 'mattered', '.']","[0, 0, 0, 0, 0, 0]"
28,"['Behind', 'Winston', ""'s"", 'back', 'the', 'voice', 'from', 'the', 'telescreen', 'was', 'still', 'babbling', 'away', 'about', 'pig-iron', 'and', 'the', 'overfulfilment', 'of', 'the', 'Ninth', 'Three-Year', 'Plan', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"['The', 'telescreen', 'received', 'and', 'transmitted', 'simultaneously', '.']","[0, 0, 0, 0, 0, 0, 0]"
30,"['Any', 'sound', 'that', 'Winston', 'made', ',', 'above', 'the', 'level', 'of', 'a', 'very', 'low', 'whisper', ',', 'would', 'be', 'picked', 'up', 'by', 'it', ',', 'moreover', ',', 'so', 'long', 'as', 'he', 'remained', 'within', 'the', 'field', 'of', 'vision', 'which', 'the', 'metal', 'plaque', 'commanded', ',', 'he', 'could', 'be', 'seen', 'as', 'well', 'as', 'heard', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"['There', 'was', 'of', 'course', 'no', 'way', 'of', 'knowing', 'whether', 'you', 'were', 'being', 'watched', 'at', 'any', 'given', 'moment', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"['How', 'often', ',', 'or', 'on', 'what', 'system', ',', 'the', 'Thought', 'Police', 'plugged', 'in', 'on', 'any', 'individual', 'wire', 'was', 'guesswork', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"['It', 'was', 'even', 'conceivable', 'that', 'they', 'watched', 'everybody', 'all', 'the', 'time', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"['But', 'at', 'any', 'rate', 'they', 'could', 'plug', 'in', 'your', 'wire', 'whenever', 'they', 'wanted', 'to', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"['You', 'had', 'to', 'live', '--', 'did', 'live', ',', 'from', 'habit', 'that', 'became', 'instinct', '--', 'in', 'the', 'assumption', 'that', 'every', 'sound', 'you', 'made', 'was', 'overheard', ',', 'and', ',', 'except', 'in', 'darkness', ',', 'every', 'movement', 'scrutinized', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"['Winston', 'kept', 'his', 'back', 'turned', 'to', 'the', 'telescreen', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"['It', 'was', 'safer', ';', 'though', ',', 'as', 'he', 'well', 'knew', ',', 'even', 'a', 'back', 'can', 'be', 'revealing', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"['A', 'kilometre', 'away', 'the', 'Ministry', 'of', 'Truth', ',', 'his', 'place', 'of', 'work', ',', 'towered', 'vast', 'and', 'white', 'above', 'the', 'grimy', 'landscape', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"['This', ',', 'he', 'thought', 'with', 'a', 'sort', 'of', 'vague', 'distaste', '--', 'this', 'was', 'London', ',', 'chief', 'city', 'of', 'Airstrip', 'One', ',', 'itself', 'the', 'third', 'most', 'populous', 'of', 'the', 'provinces', 'of', 'Oceania', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"['He', 'tried', 'to', 'squeeze', 'out', 'some', 'childhood', 'memory', 'that', 'should', 'tell', 'him', 'whether', 'London', 'had', 'always', 'been', 'quite', 'like', 'this', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"['Were', 'there', 'always', 'these', 'vistas', 'of', 'rotting', 'nineteenth-century', 'houses', ',', 'their', 'sides', 'shored', 'up', 'with', 'baulks', 'of', 'timber', ',', 'their', 'windows', 'patched', 'with', 'cardboard', 'and', 'their', 'roofs', 'with', 'corrugated', 'iron', ',', 'their', 'crazy', 'garden', 'walls', 'sagging', 'in', 'all', 'directions', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"['And', 'the', 'bombed', 'sites', 'where', 'the', 'plaster', 'dust', 'swirled', 'in', 'the', 'air', 'and', 'the', 'willow-herb', 'straggled', 'over', 'the', 'heaps', 'of', 'rubble', ';', 'and', 'the', 'places', 'where', 'the', 'bombs', 'had', 'cleared', 'a', 'larger', 'patch', 'and', 'there', 'had', 'sprung', 'up', 'sordid', 'colonies', 'of', 'wooden', 'dwellings', 'like', 'chicken-houses', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,"['But', 'it', 'was', 'no', 'use', ',', 'he', 'could', 'not', 'remember', ':', 'nothing', 'remained', 'of', 'his', 'childhood', 'except', 'a', 'series', 'of', 'bright-lit', 'tableaux', 'occurring', 'against', 'no', 'background', 'and', 'mostly', 'unintelligible', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"['The', 'Ministry', 'of', 'Truth', '--', 'Minitrue', ',', 'in', 'Newspeak', '[', 'Newspeak', 'was', 'the', 'official', 'language', 'of', 'Oceania', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"['For', 'an', 'account', 'of', 'its', 'structure', 'and', 'etymology', 'see', 'Appendix', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[']', '--', 'was', 'startlingly', 'different', 'from', 'any', 'other', 'object', 'in', 'sight', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"['It', 'was', 'an', 'enormous', 'pyramidal', 'structure', 'of', 'glittering', 'white', 'concrete', ',', 'soaring', 'up', ',', 'terrace', 'after', 'terrace', ',', '300', 'metres', 'into', 'the', 'air', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"['From', 'where', 'Winston', 'stood', 'it', 'was', 'just', 'possible', 'to', 'read', ',', 'picked', 'out', 'on', 'its', 'white', 'face', 'in', 'elegant', 'lettering', ',', 'the', 'three', 'slogans', 'of', 'the', 'Party', ':', 'WAR', 'IS', 'PEACE', 'FREEDOM', 'IS', 'SLAVERY', 'IGNORANCE', 'IS', 'STRENGTH', 'The', 'Ministry', 'of', 'Truth', 'contained', ',', 'it', 'was', 'said', ',', 'three', 'thousand', 'rooms', 'above', 'ground', 'level', ',', 'and', 'corresponding', 'ramifications', 'below', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"['Scattered', 'about', 'London', 'there', 'were', 'just', 'three', 'other', 'buildings', 'of', 'similar', 'appearance', 'and', 'size', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"['So', 'completely', 'did', 'they', 'dwarf', 'the', 'surrounding', 'architecture', 'that', 'from', 'the', 'roof', 'of', 'Victory', 'Mansions', 'you', 'could', 'see', 'all', 'four', 'of', 'them', 'simultaneously', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"['They', 'were', 'the', 'homes', 'of', 'the', 'four', 'Ministries', 'between', 'which', 'the', 'entire', 'apparatus', 'of', 'government', 'was', 'divided', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"['The', 'Ministry', 'of', 'Truth', ',', 'which', 'concerned', 'itself', 'with', 'news', ',', 'entertainment', ',', 'education', ',', 'and', 'the', 'fine', 'arts', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"['The', 'Ministry', 'of', 'Peace', ',', 'which', 'concerned', 'itself', 'with', 'war', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"['The', 'Ministry', 'of', 'Love', ',', 'which', 'maintained', 'law', 'and', 'order', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"['And', 'the', 'Ministry', 'of', 'Plenty', ',', 'which', 'was', 'responsible', 'for', 'economic', 'affairs', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"['Their', 'names', ',', 'in', 'Newspeak', ':', 'Minitrue', ',', 'Minipax', ',', 'Miniluv', ',', 'and', 'Miniplenty', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,"['The', 'Ministry', 'of', 'Love', 'was', 'the', 'really', 'frightening', 'one', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"['There', 'were', 'no', 'windows', 'in', 'it', 'at', 'all', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"['Winston', 'had', 'never', 'been', 'inside', 'the', 'Ministry', 'of', 'Love', ',', 'nor', 'within', 'half', 'a', 'kilometre', 'of', 'it', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"['It', 'was', 'a', 'place', 'impossible', 'to', 'enter', 'except', 'on', 'official', 'business', ',', 'and', 'then', 'only', 'by', 'penetrating', 'through', 'a', 'maze', 'of', 'barbed-wire', 'entanglements', ',', 'steel', 'doors', ',', 'and', 'hidden', 'machine-gun', 'nests', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"['Even', 'the', 'streets', 'leading', 'up', 'to', 'its', 'outer', 'barriers', 'were', 'roamed', 'by', 'gorilla-faced', 'guards', 'in', 'black', 'uniforms', ',', 'armed', 'with', 'jointed', 'truncheons', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"['Winston', 'turned', 'round', 'abruptly', '.']","[1, 0, 0, 0, 0]"
63,"['He', 'had', 'set', 'his', 'features', 'into', 'the', 'expression', 'of', 'quiet', 'optimism', 'which', 'it', 'was', 'advisable', 'to', 'wear', 'when', 'facing', 'the', 'telescreen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,"['He', 'crossed', 'the', 'room', 'into', 'the', 'tiny', 'kitchen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"['By', 'leaving', 'the', 'Ministry', 'at', 'this', 'time', 'of', 'day', 'he', 'had', 'sacrificed', 'his', 'lunch', 'in', 'the', 'canteen', ',', 'and', 'he', 'was', 'aware', 'that', 'there', 'was', 'no', 'food', 'in', 'the', 'kitchen', 'except', 'a', 'hunk', 'of', 'dark-coloured', 'bread', 'which', 'had', 'got', 'to', 'be', 'saved', 'for', 'tomorrow', ""'s"", 'breakfast', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,"['He', 'took', 'down', 'from', 'the', 'shelf', 'a', 'bottle', 'of', 'colourless', 'liquid', 'with', 'a', 'plain', 'white', 'label', 'marked', 'VICTORY', 'GIN', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,"['It', 'gave', 'off', 'a', 'sickly', ',', 'oily', 'smell', ',', 'as', 'of', 'Chinese', 'rice-spirit', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,"['Winston', 'poured', 'out', 'nearly', 'a', 'teacupful', ',', 'nerved', 'himself', 'for', 'a', 'shock', ',', 'and', 'gulped', 'it', 'down', 'like', 'a', 'dose', 'of', 'medicine', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,"['Instantly', 'his', 'face', 'turned', 'scarlet', 'and', 'the', 'water', 'ran', 'out', 'of', 'his', 'eyes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"['The', 'stuff', 'was', 'like', 'nitric', 'acid', ',', 'and', 'moreover', ',', 'in', 'swallowing', 'it', 'one', 'had', 'the', 'sensation', 'of', 'being', 'hit', 'on', 'the', 'back', 'of', 'the', 'head', 'with', 'a', 'rubber', 'club', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"['The', 'next', 'moment', ',', 'however', ',', 'the', 'burning', 'in', 'his', 'belly', 'died', 'down', 'and', 'the', 'world', 'began', 'to', 'look', 'more', 'cheerful', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"['He', 'took', 'a', 'cigarette', 'from', 'a', 'crumpled', 'packet', 'marked', 'VICTORY', 'CIGARETTES', 'and', 'incautiously', 'held', 'it', 'upright', ',', 'whereupon', 'the', 'tobacco', 'fell', 'out', 'on', 'to', 'the', 'floor', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,"['With', 'the', 'next', 'he', 'was', 'more', 'successful', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
74,"['He', 'went', 'back', 'to', 'the', 'living-room', 'and', 'sat', 'down', 'at', 'a', 'small', 'table', 'that', 'stood', 'to', 'the', 'left', 'of', 'the', 'telescreen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,"['From', 'the', 'table', 'drawer', 'he', 'took', 'out', 'a', 'penholder', ',', 'a', 'bottle', 'of', 'ink', ',', 'and', 'a', 'thick', ',', 'quarto-sized', 'blank', 'book', 'with', 'a', 'red', 'back', 'and', 'a', 'marbled', 'cover', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"['For', 'some', 'reason', 'the', 'telescreen', 'in', 'the', 'living-room', 'was', 'in', 'an', 'unusual', 'position', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"['Instead', 'of', 'being', 'placed', ',', 'as', 'was', 'normal', ',', 'in', 'the', 'end', 'wall', ',', 'where', 'it', 'could', 'command', 'the', 'whole', 'room', ',', 'it', 'was', 'in', 'the', 'longer', 'wall', ',', 'opposite', 'the', 'window', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"['To', 'one', 'side', 'of', 'it', 'there', 'was', 'a', 'shallow', 'alcove', 'in', 'which', 'Winston', 'was', 'now', 'sitting', ',', 'and', 'which', ',', 'when', 'the', 'flats', 'were', 'built', ',', 'had', 'probably', 'been', 'intended', 'to', 'hold', 'bookshelves', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,"['By', 'sitting', 'in', 'the', 'alcove', ',', 'and', 'keeping', 'well', 'back', ',', 'Winston', 'was', 'able', 'to', 'remain', 'outside', 'the', 'range', 'of', 'the', 'telescreen', ',', 'so', 'far', 'as', 'sight', 'went', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"['He', 'could', 'be', 'heard', ',', 'of', 'course', ',', 'but', 'so', 'long', 'as', 'he', 'stayed', 'in', 'his', 'present', 'position', 'he', 'could', 'not', 'be', 'seen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,"['It', 'was', 'partly', 'the', 'unusual', 'geography', 'of', 'the', 'room', 'that', 'had', 'suggested', 'to', 'him', 'the', 'thing', 'that', 'he', 'was', 'now', 'about', 'to', 'do', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,"['But', 'it', 'had', 'also', 'been', 'suggested', 'by', 'the', 'book', 'that', 'he', 'had', 'just', 'taken', 'out', 'of', 'the', 'drawer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,"['It', 'was', 'a', 'peculiarly', 'beautiful', 'book', '.']","[0, 0, 0, 0, 0, 0, 0]"
